Sample in Buffer,Sample in Window,TRIGGER,app_cmd[2:0],app_wdf_data[255:0],app_addr[28:0],app_rd_data[255:0],app_rd_data_reg[255:0],app_en,app_rd_data_end,app_rd_data_valid,app_rdy,app_wdf_end,app_wdf_rdy,app_wdf_wren,ui_clk
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
38,38,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014c0,008a008a008a008a008a008a008a008a008a008a008a008a008a008a008a008a,0089008900890089008900890089008900890089008900890089008900890089,0,1,1,0,0,1,0,1
39,39,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014c0,008b008b008b008b008b008b008b008b008b008b008b008b008b008b008b008b,008a008a008a008a008a008a008a008a008a008a008a008a008a008a008a008a,0,1,1,0,0,1,0,1
40,40,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014c0,008c008c008c008c008c008c008c008c008c008c008c008c008c008c008c008c,008b008b008b008b008b008b008b008b008b008b008b008b008b008b008b008b,0,1,1,1,0,1,0,1
41,41,0,1,0000000000000000000000000000000000000000000000000000000000000000,000014e0,008d008d008d008d008d008d008d008d008d008d008d008d008d008d008d008d,008c008c008c008c008c008c008c008c008c008c008c008c008c008c008c008c,1,1,1,1,0,1,0,1
42,42,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001500,008f008f008f008f008f008f008f008f008f008f008f008f008f008f008f008f,008d008d008d008d008d008d008d008d008d008d008d008d008d008d008d008d,1,1,1,1,0,1,0,1
43,43,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001520,0090009000900090009000900090009000900090009000900090009000900090,008f008f008f008f008f008f008f008f008f008f008f008f008f008f008f008f,1,1,1,1,0,1,0,1
44,44,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001540,0091009100910091009100910091009100910091009100910091009100910091,0090009000900090009000900090009000900090009000900090009000900090,1,1,1,1,0,1,0,1
45,45,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001560,0092009200920092009200920092009200920092009200920092009200920092,0091009100910091009100910091009100910091009100910091009100910091,1,1,1,1,0,1,0,1
46,46,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001580,0093009300930093009300930093009300930093009300930093009300930093,0092009200920092009200920092009200920092009200920092009200920092,1,1,1,1,0,1,0,1
47,47,0,1,0000000000000000000000000000000000000000000000000000000000000000,000015a0,0094009400940094009400940094009400940094009400940094009400940094,0093009300930093009300930093009300930093009300930093009300930093,1,1,1,1,0,1,0,1
48,48,0,1,0000000000000000000000000000000000000000000000000000000000000000,000015c0,0071007100710071007100710071007100710071007100710071007100710071,0094009400940094009400940094009400940094009400940094009400940094,1,1,0,1,0,1,0,1
49,49,0,1,0000000000000000000000000000000000000000000000000000000000000000,000015e0,0095009500950095009500950095009500950095009500950095009500950095,0094009400940094009400940094009400940094009400940094009400940094,1,1,1,1,0,1,0,1
50,50,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001600,0096009600960096009600960096009600960096009600960096009600960096,0095009500950095009500950095009500950095009500950095009500950095,1,1,1,1,0,1,0,1
51,51,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001620,0073007300730073007300730073007300730073007300730073007300730073,0096009600960096009600960096009600960096009600960096009600960096,1,1,0,1,0,1,0,1
52,52,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001640,0073007300730073007300730073007300730073007300730073007300730073,0096009600960096009600960096009600960096009600960096009600960096,1,1,0,1,0,1,0,1
53,53,0,1,0000000000000000000000000000000000000000000000000000000000000000,00001660,0073007300730073007300730073007300730073007300730073007300730073,0096009600960096009600960096009600960096009600960096009600960096,1,1,0,1,0,1,0,1
